,TripID,VehicleID,ChargeType,SoCStart,SoCEnd,dE,Pmax,t0,t1,t2,Location,BatteryCapacity,lbd,t_inf
4171,2015011575,2015000386,home,0.11875,0.9999999865135301,35.249999460541204,7.4,5697.0,5948.074938574939,6130.0,h,40.0,0.013566606848703488,6855.939574644092
4172,2015011579,2015000386,home,0.15867726801353005,0.9999999865135294,33.65290873999997,7.4,6844.0,7080.3597292333425,7987.0,h,40.0,0.013566606848703488,7988.224365302496
4173,2015011587,2015000386,home,0.8324274590135293,1.0,6.702901639458827,7.4,9419.0,9407.048848029412,9453.0,h,40.0,0.013566606848703488,10314.913484098566
4174,2015011592,2015000386,Rapid Enroute,0.11875,0.5273995056073459,27.25,150.0,386.0,396.9,396.9,Rapid Enroute,40.0,,396.9
4175,2015011589,2015000386,Rapid Enroute,0.11875,0.11875000000000002,20.67767458183165,150.0,9545.0,9553.271069832732,9553.271069832732,Rapid Enroute,40.0,,9553.271069832732
4176,2015054265,2015001990,home,0.09294435242313923,0.9999999997770379,68.0291735515424,7.4,6555.0,7043.598036562634,9322.0,h,75.0,0.007228320005424509,7999.249544770176
4177,2012255876,2012009188,home,0.2660980958196194,0.9999999998155784,22.017057119878768,7.4,915.0,1062.577307666567,1825.0,h,30.0,0.018070799999287915,1444.83787823916
4178,2012255880,2012009188,home,0.3748786991489118,0.9999999998155784,18.753639019999998,7.4,2455.0,2572.5089590804605,3255.0,h,30.0,0.018070799999287915,2954.7695296530533
4179,2012255882,2012009188,home,0.5901547464822452,0.9999999998155791,12.295357600000019,7.4,3885.0,3943.0039091418857,4695.0,h,30.0,0.018070799999287915,4325.2644797144785
4180,2012255885,2012009188,home,0.4722437691489124,0.999999999815577,15.832686919999935,7.4,5090.0,5180.596009756136,6210.0,h,30.0,0.018070799999287915,5562.856580328728
4181,2012233923,2012008382,home,0.23277253776154277,0.9999999999268359,18.413459091967034,7.4,1013.0,1138.4311341559242,1816.0,h,24.0,0.02258850000210788,1444.2396210455797
4182,2012233927,2012008382,home,0.4140661282601693,0.9999999999268369,14.06241292000002,7.4,2642.0,2727.3416423994713,3266.0,h,24.0,0.02258850000210788,3033.1501292891267
4183,2012233933,2012008382,home,0.44410043601017024,0.9999999999268369,13.341589533999999,7.4,4080.0,4158.7001492852205,4710.0,h,24.0,0.02258850000210788,4464.508636174876
4184,2012233939,2012008382,home,0.40635470742683694,0.9999999999268381,14.247487020000028,7.4,5570.0,5657.046870593575,6148.0,h,24.0,0.02258850000210788,5962.85535748323
4185,2012233945,2012008382,home,0.31266429709350463,0.9999999999268375,16.49605686799999,7.4,7076.0,7183.764651748365,7980.0,h,24.0,0.02258850000210788,7489.573138638021
4186,2012074835,2012002645,home,0.2369744644035579,0.9999999998155787,22.890766062360626,7.4,5506.0,5661.627451485503,6138.0,h,30.0,0.018070799999287915,6043.888022058096
4187,2014000588,2014000019,home,0.267872002916011,0.9999999999268369,17.571071928259823,7.4,8205.0,8322.669581664764,9365.0,h,24.0,0.02258850000210788,8628.47806855442
4188,2012183900,2012006564,home,0.12328085730787933,0.9999999999277064,52.60314855718963,7.4,3884.0,4258.107634166406,4800.0,h,60.0,0.009035400003112216,5022.628879446046
4189,2013137592,2013005645,home,0.15916666666666668,0.6656555555555557,15.194666666666668,7.4,1060.0,1237.134520884521,1200.0,h,30.0,0.018070799999287915,1619.395091457114
4190,2013137594,2013005645,home,0.15916666666666668,0.9999999998155786,25.22499999446736,7.4,1325.0,1502.134520884521,1820.0,h,30.0,0.018070799999287915,1884.395091457114
4191,2013137570,2013005645,home,0.487693433148912,0.999999999815578,15.369196999999978,7.4,2500.0,2586.3255252352515,3260.0,h,30.0,0.018070799999287915,2968.5860958078442
4192,2013137576,2013005645,home,0.28470201448224464,0.9999999998155786,21.458939560000022,7.4,4885.0,5027.4349468568735,5350.0,h,30.0,0.018070799999287915,5409.695517429466
4193,2013137584,2013005645,home,0.19243318781557875,0.999999999815577,24.22700435999995,7.4,6840.0,7007.939229412155,7890.0,h,30.0,0.018070799999287915,7390.199799984748
4194,2014011577,2014000415,home,0.3593386910962848,0.9999999998155789,19.219839261578823,7.4,1020.0,1141.8044158517641,3285.0,h,30.0,0.018070799999287915,1524.0649864243571
4195,2014011583,2014000415,home,0.29875691714891217,0.9999999998155783,21.037292479999984,7.4,5430.0,5568.5499921885685,6150.0,h,30.0,0.018070799999287915,5950.810562761161
4196,2014134525,2014004815,home,0.10035210184929605,0.9999999997770385,67.47359234458068,7.4,1062.0,1545.4790450979988,1820.0,h,75.0,0.007228320005424509,2501.130553305541
4197,2014134537,2014004815,home,0.1481226931103718,0.9999999997770378,63.89079799999994,7.4,7000.0,7450.468040694614,7580.0,h,75.0,0.007228320005424509,8406.119548902156
4198,2014181201,2014006621,home,0.11875,0.9999999865135301,35.249999460541204,7.4,975.0,1226.0749385749386,1939.0,h,40.0,0.013566606848703488,2133.9395746440923
4199,2015132543,2015005613,home,0.11484153849167501,0.9999999999277066,53.1095076861619,7.4,1113.0,1491.773105256445,1840.0,h,60.0,0.009035400003112216,2256.2943505360854
4200,2015132536,2015005613,home,0.1872832999277067,0.9999999999277068,48.76300200000001,7.4,6785.0,7123.725448442914,7985.0,h,60.0,0.009035400003112216,7888.2466937225545
4201,2015110558,2015004703,home,0.20256577562203118,0.9999999999268357,19.138421383315308,7.4,1055.0,1187.1107621474623,1820.0,h,24.0,0.02258850000210788,1492.9192490371179
4202,2015110568,2015004703,home,0.4186259249268355,0.9999999999268342,13.952977799999973,7.4,6750.0,6834.333333554262,7580.0,h,24.0,0.02258850000210788,7140.141820443918
4203,2016193865,2016007532,home,0.2039880491006475,0.9999999865135297,31.840477496515287,7.4,1075.0,1294.6604241643804,1900.0,h,40.0,0.013566606848703488,2202.5250602335345
4204,2016193853,2016007532,home,0.35296483951352975,0.9999999865135312,25.881405880000056,7.4,6752.0,6916.754973152262,7768.0,h,40.0,0.013566606848703488,7824.619609221416
